OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
106,As Safra,الصفراء,YE2212,NA,NA,NA,NA,NA,Sa'dah,صعده,YE22,Yemen,اليمن,YE,1548979200000,1574380800000,NA
107,As Saiyani,السياني,YE1115,NA,NA,NA,NA,NA,Ibb,اب,YE11,Yemen,اليمن,YE,1548979200000,1574380800000,NA
108,As Salafiyyah,السلفيه,YE3102,NA,NA,NA,NA,NA,Raymah,ريمه,YE31,Yemen,اليمن,YE,1548979200000,1574380800000,NA
109,As Salif,الصليف,YE1804,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
110,As Sawadiyah,السواديه,YE1411,NA,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
111,As Sawd,السود,YE2914,NA,NA,NA,NA,NA,Amran,عمران,YE29,Yemen,اليمن,YE,1548979200000,1574380800000,NA
112,As Sawm,السوم,YE1912,NA,NA,NA,NA,NA,Hadramawt,حضرموت,YE19,Yemen,اليمن,YE,1548979200000,1574380800000,NA
113,As Sawma'ah,الصومعه,YE1404,As Sawmaah,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
114,As Silw,الصلو,YE1513,NA,NA,NA,NA,NA,Ta'iz,تعز,YE15,Yemen,اليمن,YE,1548979200000,1574380800000,NA
115,As Sudah,السوده,YE2913,NA,NA,NA,NA,NA,Amran,عمران,YE29,Yemen,اليمن,YE,1548979200000,1574380800000,NA
116,As Sukhnah,السخنه,YE1815,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
117,Ash Sha'ir,الشعر,YE1105,Ash Shair,NA,NA,NA,NA,Ibb,اب,YE11,Yemen,اليمن,YE,1548979200000,1574380800000,NA
118,Ash Shaghadirah,الشغادره,YE1725,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
119,Ash Shahil,الشاهل,YE1721,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
120,Ash Shamayatayn,الشمايتين,YE1514,NA,NA,NA,NA,NA,Ta'iz,تعز,YE15,Yemen,اليمن,YE,1548979200000,1574380800000,NA
121,Ash Sharyah,الشريه,YE1419,NA,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
122,Ash Shaykh Othman,الشيخ عثمان,YE2402,NA,NA,NA,NA,NA,Aden,عدن,YE24,Yemen,اليمن,YE,1548979200000,1574380800000,NA
123,Ash Shihr,الشحر,YE1915,NA,NA,NA,NA,NA,Hadramawt,حضرموت,YE19,Yemen,اليمن,YE,1548979200000,1574380800000,NA
124,Ash Shu'ayb,الشعيب,YE3004,Ash Shuayb,NA,NA,NA,NA,Ad Dali',الضالع,YE30,Yemen,اليمن,YE,1548979200000,1574380800000,NA
125,Aslam,اسلم,YE1712,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
126,At Ta'iziyah,التعزيه,YE1520,At Taiziyah,NA,NA,NA,NA,Ta'iz,تعز,YE15,Yemen,اليمن,YE,1548979200000,1574380800000,NA
127,At Taffah,الطفه,YE1407,NA,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
128,At Tahrir,التحرير,YE1307,NA,NA,NA,NA,NA,Sana'a City,امانة العاصمه,YE13,Yemen,اليمن,YE,1548979200000,1574380800000,NA
129,At Talh,الطلح,YE2102,NA,NA,NA,NA,NA,Shabwah,شبوه,YE21,Yemen,اليمن,YE,1548979200000,1574380800000,NA
130,At Tawahi,التواهي,YE2405,NA,NA,NA,NA,NA,Aden,عدن,YE24,Yemen,اليمن,YE,1548979200000,1574380800000,NA
131,At Tawilah,الطويله,YE2702,NA,NA,NA,NA,NA,Al Mahwit,المحويت,YE27,Yemen,اليمن,YE,1548979200000,1574380800000,NA
132,At Tuhayta,التحيتا,YE1826,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
133,At Tyal,الطيال,YE2313,NA,NA,NA,NA,NA,Sana'a,صنعاء,YE23,Yemen,اليمن,YE,1548979200000,1574380800000,NA
134,Ataq,عتق,YE2113,NA,NA,NA,NA,NA,Shabwah,شبوه,YE21,Yemen,اليمن,YE,1548979200000,1574380800000,NA
135,Ath Thawrah,الثوره,YE1309,NA,NA,NA,NA,NA,Sana'a City,امانة العاصمه,YE13,Yemen,اليمن,YE,1548979200000,1574380800000,NA
136,Ayn,عين,YE2106,NA,NA,NA,NA,NA,Shabwah,شبوه,YE21,Yemen,اليمن,YE,1548979200000,1574380800000,NA
137,Az Zahir,الزاهر,YE1405,NA,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
138,Az Zahir,الزاهر,YE1604,NA,NA,NA,NA,NA,Al Jawf,الجوف,YE16,Yemen,اليمن,YE,1548979200000,1574380800000,NA
139,Az Zaydiah,الزيديه,YE1807,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
140,Az Zuhrah,الزهره,YE1801,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
141,Azaal,ازال,YE1303,NA,NA,NA,NA,NA,Sana'a City,امانة العاصمه,YE13,Yemen,اليمن,YE,1548979200000,1574380800000,NA
142,Ba'dan,بعدان,YE1113,Badan,NA,NA,NA,NA,Ibb,اب,YE11,Yemen,اليمن,YE,1548979200000,1574380800000,NA
143,Bajil,باجل,YE1810,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
144,Bakil Al Mir,بكيل المير,YE1701,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
145,Bani Al Awam,بني العوام,YE1727,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
146,Bani Al Harith,بني الحارث,YE1310,NA,NA,NA,NA,NA,Sana'a City,امانة العاصمه,YE13,Yemen,اليمن,YE,1548979200000,1574380800000,NA
147,Bani Dabyan,بني ضبيان,YE2314,NA,NA,NA,NA,NA,Sana'a,صنعاء,YE23,Yemen,اليمن,YE,1548979200000,1574380800000,NA
148,Bani Hushaysh,بني حشيش,YE2304,NA,NA,NA,NA,NA,Sana'a,صنعاء,YE23,Yemen,اليمن,YE,1548979200000,1574380800000,NA
149,Bani Matar,بني مطر,YE2307,NA,NA,NA,NA,NA,Sana'a,صنعاء,YE23,Yemen,اليمن,YE,1548979200000,1574380800000,NA
150,Bani Qays,بني قيس الطور,YE1724,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
151,Bani Sa'd,بني سعد,YE2707,Bani Sad,NA,NA,NA,NA,Al Mahwit,المحويت,YE27,Yemen,اليمن,YE,1548979200000,1574380800000,NA
152,Bani Surim,بني صريم,YE2920,NA,NA,NA,NA,NA,Amran,عمران,YE29,Yemen,اليمن,YE,1548979200000,1574380800000,NA
