OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
401,Kumagannam,NG036017005,Kumagannam,Kumagannam, ,Yusufari,NG036017,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
402,Kumalia,NG008024003,Kumalia,Kumalia, ,Monguno,NG008024,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
403,Kumshe,NG008003006,Kumshe,Kumshe /Nduguno, ,Bama,NG008003,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
404,Kupti,NG008020010,Kupti,Kubti, ,Magumeri,NG008020,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
405,Kuranabasa,NG008011011,Kuranabasa,Kurana Bassa/Ngoshe - Sama'A, ,Gwoza,NG008011,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
406,Kurba Gayi,NG008018005,Kurba Gayi,Kurba, ,Kwaya Kusar,NG008018,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
407,Kurnawa,NG008026008,Kurnawa,Kurnawa, ,Nganzai,NG008026,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
408,Kurnawa,NG036002009,Kurnawa,Kurnawa, ,Bursari,NG036002,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
409,Kushimaga,NG036008009,Kushimaga,Kushimaga, ,Gulani,NG036008,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
410,Kusur,NG036006010,Kusur,Damakarwa/Kusur, ,Geidam,NG036006,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
411,Kwaja,NG002015005,Kwaja,Kwaja, ,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
412,Kwajaffa,NG008012006,Kwajaffa,Kwajaffa/Hang, ,Hawul,NG008012,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
413,Kwarhi,NG002007008,Kwarhi,Kwarhi, ,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
414,Kwaya Kusar,NG008018006,Kwaya Kusar,Kwaya Kusar, ,Kwaya Kusar,NG008018,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
415,Kwayabura,NG008012007,Kwayabura,Kwaya-Bur/Tanga Rumta, ,Hawul,NG008012,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
416,Lafiya,NG002009003,Lafiya,Lafiya, ,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
417,Lafiya Loi Loi,NG036009008,Lafiya Loi Loi,Lafiya Loi-Loi, ,Jakusko,NG036009,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
418,Lakundum,NG008027009,Lakundum,Kwaba, ,Shani,NG008027,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
419,Lamisu,NG036011007,Lamisu,Lamisu, ,Machina,NG036011,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
420,Lamisula,NG008021010,Lamisula,Lamisula/Jabba Mari, ,Maiduguri,NG008021,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
421,Lamurde,NG002009004,Lamurde,Lamurde, ,Lamurde,NG002009,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
422,Lamurde,NG002015006,Lamurde,Lamorde, ,Mubi South,NG002015,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
423,Langawa Darin,NG036012008,Langawa Darin,Langawa / Darin, ,Nangere,NG036012,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
424,Lantaiwa,NG036015006,Lantaiwa,Lantaiwa, ,Tarmua,NG036015,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
425,Lassa,NG008002006,Lassa,Lassa, ,Askira/Uba,NG008002,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
426,Lawan Fannami,NG036001005,Lawan Fannami,Lawan Fannami, ,Bade,NG036001,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
427,Lawan Musa,NG036001006,Lawan Musa,Lawan Musa, ,Bade,NG036001,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
428,Layi,NG008023008,Layi,Layi, ,Mobbar,NG008023,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
429,Lege,NG008019005,Lege,Laje, ,Mafa,NG008019,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
430,Leko,NG002008006,Leko,Leko, ,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
431,Libbo,NG002017008,Libbo,Libbo, ,Shelleng,NG002017,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
432,Likama,NG008006002,Likama,Chibok Likama, ,Chibok,NG008006,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
433,Limanti,NG008004007,Limanti,Limanti, ,Bayo,NG008004,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
434,Limanti,NG008019006,Limanti,Limanti, ,Mafa,NG008019,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
435,Limanti,NG008021011,Limanti,Limanti, ,Maiduguri,NG008021,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
436,Limawa,NG002020007,Limawa,Limawa, ,Yola North,NG002020,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
437,Logumane,NG008025004,Logumane,Logumane, ,Ngala,NG008025,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
