OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
231,San Javier,BO080102,NA,NA,NA,Cercado,BO0801,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
232,San Joaquín,BO080701,San Joaquin,NA,NA,Mamoré,BO0807,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
233,San José,BO070501,San Jose,NA,NA,Chiquitos,BO0705,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
234,San Juan,BO070404,NA,NA,NA,Ichilo,BO0704,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
235,San Julián,BO071103,San Julian,NA,NA,Ñuflo De Chávez,BO0711,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
236,San Lorenzo,BO060501,NA,NA,NA,Méndez,BO0605,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
237,San Lorenzo,BO090302,NA,NA,NA,Madre de Dios,BO0903,Pando,BO09,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
238,San Lucas,BO010702,NA,NA,NA,Nor Cinti,BO0107,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
239,San Matías,BO071201,San Matias,NA,NA,Angel Sandoval,BO0712,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
240,San Miguel,BO070302,NA,NA,NA,Velasco,BO0703,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
241,San Pablo,BO051001,NA,NA,NA,Sur Lipez,BO0510,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
242,San Pedro,BO050501,NA,NA,NA,Chárcas,BO0505,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
243,San Pedro,BO071005,NA,NA,NA,Obispo Santistéban,BO0710,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
244,San Pedro,BO090202,NA,NA,NA,Manuripi,BO0902,Pando,BO09,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
245,San Pedro de Curahuara,BO021801,NA,NA,NA,Gualberto Villarroel,BO0218,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
246,San Pedro de Quemes,BO050902,NA,NA,NA,Nor Lipez,BO0509,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
