OBJECTID,admin2Name_en,admin2Name_lo,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_lo,admin2AltName2_lo,admin1Name_en,admin1Name_lo,admin1Pcode,admin0Name_en,admin0Name_lo,admin0Pcode,date,validOn,validTo
72,Outhoomphone,ມ. ອຸທຸມພອນ,LA1302,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
73,Pak Xeng,ມ. ປາກແຊງ,LA0607,NA,NA,NA,NA,NA,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
74,Pakbeng,ມ. ປາກແບງ,LA0407,NA,NA,NA,NA,NA,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
75,Pakkading,ມ. ປາກກະດິງ,LA1103,NA,NA,NA,NA,NA,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
76,Pakse,ມ. ປາກເຊ,LA1601,NA,NA,NA,NA,NA,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
77,Paksxong,ມ. ປາກຊ່ອງ,LA1604,NA,NA,NA,NA,NA,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
78,Paktha,ມ. ປາກທາ,LA0505,NA,NA,NA,NA,NA,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
79,Pakxane,ມ. ປາກຊັນ,LA1101,NA,NA,NA,NA,NA,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
80,Park Ou,ມ. ປາກອູ,LA0604,NA,NA,NA,NA,NA,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
81,Parklai,ມ. ປາກລາຍ,LA0807,NA,NA,NA,NA,NA,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
82,Pathoomphone,ມ. ປະທຸມພອນ,LA1605,NA,NA,NA,NA,NA,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
83,Pek,ມ. ແປກ,LA0901,NA,NA,NA,NA,NA,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
84,Pha Oudom,ມ. ຜາອຸດົມ,LA0504,NA,NA,NA,NA,NA,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
85,Phalanxay,ມ. ພະລານໄຊ,LA1315,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
86,Phaxay,ມ. ຜາໄຊ,LA0907,NA,NA,NA,NA,NA,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
87,Phiang,ມ. ພຽງ,LA0806,NA,NA,NA,NA,NA,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
88,Phine,ມ. ພິນ,LA1304,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
89,Phongsaly,ມ. ຜົ້ງສາລີ,LA0201,NA,NA,NA,NA,NA,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
90,Phonhong,ມ. ໂພນໂຮງ,LA1001,NA,NA,NA,NA,NA,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
91,Phonthong,ມ. ໂພນທອງ,LA0612,NA,NA,NA,NA,NA,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
92,Phonthong,ມ. ໂພນທອງ,LA1606,NA,NA,NA,NA,NA,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
93,Phonxay,ມ. ໂພນໄຊ,LA0608,NA,NA,NA,NA,NA,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
94,Phookood,ມ. ພູກູດ,LA0906,NA,NA,NA,NA,NA,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
95,Phoukhoune,ມ. ພູຄູນ,LA0611,NA,NA,NA,NA,NA,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
96,Phouvong,ມ. ພູວົງ,LA1705,NA,NA,NA,NA,NA,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
97,Samakkhixay,ມ. ສາມັກຄີໄຊ,LA1702,NA,NA,NA,NA,NA,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
98,Samphanh,ມ. ສຳພັນ,LA0204,NA,NA,NA,NA,NA,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
99,Samuoi,ມ. ສະໝ້ວຍ,LA1408,NA,NA,NA,NA,NA,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
100,Sanamxay,ມ. ສະໜາມໄຊ,LA1703,NA,NA,NA,NA,NA,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
101,Sanasomboon,ມ. ຊະນະສົມບູນ,LA1602,NA,NA,NA,NA,NA,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
102,Sangthong,ມ. ສັງທອງ,LA0108,NA,NA,NA,NA,NA,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
103,Sanxay,ມ. ຊານໄຊ,LA1704,NA,NA,NA,NA,NA,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
104,Saravane,ມ. ສາລະວັນ,LA1401,NA,NA,NA,NA,NA,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
105,Sepone,ມ. ເຊໂປນ,LA1305,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
106,Sikhottabong,ມ. ສີໂຄດຕະບອງ,LA0102,NA,NA,NA,NA,NA,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
107,Sing,ມ. ສິງ,LA0302,NA,NA,NA,NA,NA,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
108,Sisattanak,ມ. ສີສັດຕະນາກ,LA0104,NA,NA,NA,NA,NA,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
