OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
50,Bimbéré Tama,ML050801,Bimbere Tama,NA,NA,Youwarou,ML0508,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
51,Binga,ML060102,NA,NA,NA,Diré,ML0601,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
52,Binko,ML020203,NA,NA,NA,Dioila,ML0202,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
53,Bintagoungou,ML060203,NA,NA,NA,Goundam,ML0602,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
54,Bla,ML040202,NA,NA,NA,Bla,ML0402,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
55,Bladié-Tièmala,ML030101,Bladie-Tiemala,NA,NA,Bougouni,ML0301,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
56,Blendio,ML030502,NA,NA,NA,Sikasso,ML0305,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
57,Boghassa,ML080102,NA,NA,NA,Abeibara,ML0801,Kidal,ML08,Mali (le),ML,1369958400000,1564704000000,NA
58,Boidié,ML040102,Boidie,NA,NA,Baraouéli,ML0401,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
59,Boky Were,ML040301,NA,NA,NA,Macina,ML0403,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
60,Bolo-Fouta,ML030602,NA,NA,NA,Yanfolila,ML0306,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
61,Bondo,ML050503,NA,NA,NA,Koro,ML0505,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
62,Borko,ML050103,NA,NA,NA,Bandiagara,ML0501,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
63,Boron,ML020103,NA,NA,NA,Banamba,ML0201,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
64,Borondougou,ML050602,NA,NA,NA,Mopti,ML0506,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
65,Bossofala,ML020403,NA,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
66,Boudofo,ML010504,NA,NA,NA,Kita,ML0105,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
67,Bougarybaya,ML010505,NA,NA,NA,Kita,ML0105,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
68,Bougoula,ML020404,NA,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
69,Bougoula,ML030301,NA,NA,NA,Kolondieba,ML0303,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
70,Bougouni,ML030102,NA,NA,NA,Bougouni,ML0301,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
71,Boura,ML030701,NA,NA,NA,Yorosso,ML0307,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
72,Bourem,ML070202,NA,NA,NA,Bourem,ML0702,Gao,ML07,Mali (le),ML,1369958400000,1564704000000,NA
73,Bourem Inaly,ML060503,NA,NA,NA,Tombouctou,ML0605,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
74,Bourem Sidi Amar,ML060103,NA,NA,NA,Diré,ML0601,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
75,Bourra,ML070103,NA,NA,NA,Ansongo,ML0701,Gao,ML07,Mali (le),ML,1369958400000,1564704000000,NA
76,Boussin,ML040603,NA,NA,NA,Ségou,ML0406,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
77,Cinzana,ML040604,NA,NA,NA,Ségou,ML0406,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
78,Colimbiné,ML010302,Colimbine,NA,NA,Kayes,ML0103,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
79,Commune I,ML090101,NA,NA,NA,Bamako,ML0901,Bamako,ML09,Mali (le),ML,1369958400000,1564704000000,NA
80,Commune II,ML090102,NA,NA,NA,Bamako,ML0901,Bamako,ML09,Mali (le),ML,1369958400000,1564704000000,NA
81,Commune III,ML090103,NA,NA,NA,Bamako,ML0901,Bamako,ML09,Mali (le),ML,1369958400000,1564704000000,NA
82,Commune IV,ML090104,NA,NA,NA,Bamako,ML0901,Bamako,ML09,Mali (le),ML,1369958400000,1564704000000,NA
83,Commune V,ML090105,NA,NA,NA,Bamako,ML0901,Bamako,ML09,Mali (le),ML,1369958400000,1564704000000,NA
84,Commune VI,ML090106,NA,NA,NA,Bamako,ML0901,Bamako,ML09,Mali (le),ML,1369958400000,1564704000000,NA
85,Daban,ML020405,NA,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
86,Dabia,ML010402,NA,NA,NA,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
87,Dabo,ML020702,NA,NA,NA,Nara,ML0207,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
88,Dah,ML040502,NA,NA,NA,San,ML0405,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
89,Dallah,ML050401,NA,NA,NA,Douentza,ML0504,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
90,Danderesso,ML030503,NA,NA,NA,Sikasso,ML0305,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
91,Dandoli,ML050104,NA,NA,NA,Bandiagara,ML0501,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
92,Dandougou Fakala,ML050301,NA,NA,NA,Djenné,ML0503,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
93,Dangha,ML060104,NA,NA,NA,Diré,ML0601,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
94,Dangol Boré,ML050402,Dangol Bore,NA,NA,Douentza,ML0504,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
95,Danou,ML030103,NA,NA,NA,Bougouni,ML0301,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
96,Débélin,ML030104,Debelin,NA,NA,Bougouni,ML0301,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
97,Débéré,ML050403,Debere,NA,NA,Douentza,ML0504,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
98,Déboye,ML050802,Deboye,NA,NA,Youwarou,ML0508,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
99,Défina,ML030105,Defina,NA,NA,Bougouni,ML0301,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
100,Dégnékoro,ML020204,Degnekoro,NA,NA,Dioila,ML0202,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
101,Dembela,ML030504,NA,NA,NA,Sikasso,ML0305,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
102,Derrary,ML050302,NA,NA,NA,Djenné,ML0503,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
103,Diabaly,ML040401,NA,NA,NA,Niono,ML0404,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
104,Diabigué,ML010602,Diabigue,NA,NA,Nioro,ML0106,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
105,Diafarabé,ML050701,Diafarabe,NA,NA,Ténenkou,ML0507,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
106,Diafounou Diongaga,ML010701,NA,NA,NA,Yélimané,ML0107,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
107,Diafounou Gory,ML010702,NA,NA,NA,Yélimané,ML0107,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
108,Diago,ML020406,NA,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
109,Diaka,ML050702,NA,NA,NA,Ténenkou,ML0507,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
110,Diakon,ML010103,NA,NA,NA,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
111,Diakourouna,ML040503,NA,NA,NA,San,ML0405,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
