OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
1742,Trompeteros,PE160304,NA,NA,NA,Loreto,PE1603,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1743,Trujillo,PE130101,NA,NA,NA,Trujillo,PE1301,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1744,Tucume,PE140312,NA,NA,NA,Lambayeque,PE1403,Lambayeque,PE14,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1745,Tuman,PE140120,NA,NA,NA,Chiclayo,PE1401,Lambayeque,PE14,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1746,Tumay Huaraca,PE030217,NA,NA,NA,Andahuaylas,PE0302,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1747,Tumbaden,PE061204,NA,NA,NA,San Pablo,PE0612,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1748,Tumbes,PE240101,NA,NA,NA,Tumbes,PE2401,Tumbes,PE24,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1749,Tunan Marca,PE120432,NA,NA,NA,Jauja,PE1204,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1750,Tupac Amaru,PE080508,NA,NA,NA,Canas,PE0805,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1751,Tupac Amaru Inca,PE110508,NA,NA,NA,Pisco,PE1105,Ica,PE11,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1752,Tupe,PE151031,NA,NA,NA,Yauyos,PE1510,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1753,Turpay,PE030711,NA,NA,NA,Grau,PE0307,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1754,Turpo,PE030218,NA,NA,NA,Andahuaylas,PE0302,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1755,Tuti,PE040518,NA,NA,NA,Caylloma,PE0405,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1756,Ubinas,PE180210,NA,NA,NA,General Sanchez Cerro,PE1802,Moquegua,PE18,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1757,Uchiza,PE221005,NA,NA,NA,Tocache,PE2210,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1758,Uchumarca,PE130305,NA,NA,NA,Bolivar,PE1303,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1759,Uchumayo,PE040124,NA,NA,NA,Arequipa,PE0401,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1760,Uchuraccay,PE050410,NA,NA,NA,Huanta,PE0504,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1761,Uco,PE021016,NA,NA,NA,Huari,PE0210,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1762,Ucuncha,PE130306,NA,NA,NA,Bolivar,PE1303,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1763,Ulcumayo,PE120504,NA,NA,NA,Junin,PE1205,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1764,Umachiri,PE210809,NA,NA,NA,Melgar,PE2108,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1765,Umari,PE100804,NA,NA,NA,Pachitea,PE1008,Huanuco,PE10,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1766,Unicachi,PE211307,NA,NA,NA,Yunguyo,PE2113,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1767,Union Agua Blanca,PE061113,NA,NA,NA,San Miguel,PE0611,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1768,Uñon,PE040412,Unon,NA,NA,Castilla,PE0404,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1769,Upahuacho,PE050708,NA,NA,NA,Parinacochas,PE0507,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1770,Uraca,PE040413,NA,NA,NA,Castilla,PE0404,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1771,Uranmarca,PE030607,NA,NA,NA,Chincheros,PE0306,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1772,Urarinas,PE160305,NA,NA,NA,Loreto,PE1603,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1773,Urcos,PE081201,NA,NA,NA,Quispicanchi,PE0812,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1774,Urpay,PE130813,NA,NA,NA,Pataz,PE1308,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1775,Urubamba,PE081301,NA,NA,NA,Urubamba,PE0813,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1776,Usicayos,PE210310,NA,NA,NA,Carabaya,PE2103,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1777,Usquil,PE130614,NA,NA,NA,Otuzco,PE1306,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1778,Utco,PE060311,NA,NA,NA,Celendin,PE0603,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1779,Uticyacu,PE061310,NA,NA,NA,Santa Cruz,PE0613,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1780,Valera,PE010311,NA,NA,NA,Bongara,PE0103,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1781,Vargas Guerra,PE160606,NA,NA,NA,Ucayali,PE1606,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1782,Vegueta,PE150812,NA,NA,NA,Huaura,PE1508,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
