OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
866,Capital Seboruco,VE202401,NA,NA,NA,Seboruco,VE2024,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
867,Simón Rodríguez,VE202501,Simon Rodriguez,NA,NA,Simón Rodríguez,VE2025,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
868,Sucre,VE202601,NA,NA,NA,Sucre,VE2026,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
869,Eleazar López Contreras,VE202602,Eleazar Lopez Contreras,NA,NA,Sucre,VE2026,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
870,San Pablo,VE202603,NA,NA,NA,Sucre,VE2026,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
871,Torbes,VE202701,NA,NA,NA,Torbes,VE2027,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
872,Uribante,VE202801,NA,NA,NA,Uribante,VE2028,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
873,Cárdenas,VE202802,Cardenas,NA,NA,Uribante,VE2028,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
874,Juan Pablo Peñaloza,VE202803,Juan Pablo Penaloza,NA,NA,Uribante,VE2028,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
875,Potosí,VE202804,Potosi,NA,NA,Uribante,VE2028,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
876,San Judas Tadeo,VE202901,NA,NA,NA,San Judas Tadeo,VE2029,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
877,Araguaney,VE210102,NA,NA,NA,Andrés Bello,VE2101,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
878,El Jaguito,VE210103,NA,NA,NA,Andrés Bello,VE2101,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
879,La Esperanza,VE210104,NA,NA,NA,Andrés Bello,VE2101,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
880,Bocono,VE210201,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
881,El Carmen,VE210202,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
882,Mosquey,VE210203,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
883,Ayacucho,VE210204,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
884,Burbusay,VE210205,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
885,General Rivas,VE210206,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
886,Guaramacal,VE210207,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
887,Vega de Guaramacal,VE210208,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
888,Monseñor Jáuregui,VE210209,Monsenor Jauregui,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
889,Rafael Rangel,VE210210,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
890,San Miguel,VE210211,NA,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
891,San José,VE210212,San Jose,NA,NA,Bocono,VE2102,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
892,Sabana Grande,VE210301,NA,NA,NA,Bolívar,VE2103,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
893,Cheregue,VE210302,NA,NA,NA,Bolívar,VE2103,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
894,Granados,VE210303,NA,NA,NA,Bolívar,VE2103,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
895,Chejende,VE210401,NA,NA,NA,Candelaria,VE2104,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
896,Arnoldo Gabaldon,VE210402,NA,NA,NA,Candelaria,VE2104,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
897,Bolivia,VE210403,NA,NA,NA,Candelaria,VE2104,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
