OBJECTID,admin3Name_en,admin3Name_th,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_th,admin3AltName2_th,admin2Name_en,admin2Name_th,admin2Pcode,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
2362,Khok Chang,โคกช้าง,TH140423,NA,NA,NA,NA,NA,Bang Sai,บางไทร,TH1404,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2363,Khok Chang,โคกช้าง,TH140811,NA,NA,NA,NA,NA,Phak Hai,ผักไห่,TH1408,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2364,Khok Chang,โคกช้าง,TH720207,NA,NA,NA,NA,NA,Doem Bang Nang Buat,เดิมบางนางบวช,TH7202,Suphan Buri,สุพรรณบุรี,TH72,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2365,Khok Chang,คอกช้าง,TH431402,NA,NA,NA,NA,NA,Sakhrai,สระใคร,TH4314,Nong Khai,หนองคาย,TH43,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2366,Khok Charoen,โคกเจริญ,TH160901,NA,NA,NA,NA,NA,Khok Charoen,โคกเจริญ,TH1609,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2367,Khok Charoen,โคกเจริญ,TH820705,NA,NA,NA,NA,NA,Thap Put,ทับปุด,TH8207,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2368,Khok Duea,โคกเดื่อ,TH600901,NA,NA,NA,NA,NA,Phaisali,ไพศาลี,TH6009,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2369,Khok Faet,โคกแฝด,TH100305,NA,NA,NA,NA,NA,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2370,Khok Han,โคกหาร,TH810206,NA,NA,NA,NA,NA,Khao Phanom,เขาพนม,TH8102,Krabi,กระบี่,TH81,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2371,Khok Hin Hae,โคกหินแฮ่,TH480605,NA,NA,NA,NA,NA,Renu Nakhon,เรณูนคร,TH4806,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
